order_id,timestamp,item,category,quantity,price_per_item,total_amount
ORD693833,2025-10-17 17:15:01,Roti Thali,today_thali,1,120,120
ORD248059,2025-10-18 07:07:38,Paneer Bhurji,special_sabji,3,200,600
ORD513057,2025-10-18 02:18:18,Dal Fry,special_sabji,3,150,450
ORD454782,2025-10-17 23:02:56,Manchurian Rice with Gravy,chinese_rice,2,160,320
ORD166162,2025-10-18 07:22:12,Veg Clear Soup,chinese_soup,2,80,160
ORD177088,2025-10-18 05:26:17,Namkin Sev Onion,premium_paratha,3,120,360
ORD103457,2025-10-17 21:11:41,Hong Kong Rice,chinese_rice,3,130,390
ORD999081,2025-10-17 15:49:08,Mushroom Pepper Dry,chinese_starters,3,160,480
ORD565992,2025-10-17 21:33:37,Veg Schezwan Noodles,chinese_noodles,1,120,120
ORD123504,2025-10-17 16:19:40,Chole Masala Thali,today_thali,2,150,300
ORD195664,2025-10-18 04:13:42,Dal Baati Churma,weekend_special,2,180,360
ORD259366,2025-10-18 05:18:03,Dal Baati Churma,weekend_special,2,180,360
ORD662564,2025-10-18 05:34:54,Dal Baati Churma,weekend_special,2,180,360
ORD595948,2025-10-18 07:56:10,Paneer Thali,today_thali,3,160,480
ORD395096,2025-10-18 05:05:44,Veg Chopper Noodles,chinese_noodles,1,170,170
ORD879201,2025-10-18 04:27:55,Schezwan Fried Rice,chinese_rice,1,120,120
ORD205213,2025-10-17 18:42:54,Veg Hong Kong Noodles,chinese_noodles,2,150,300
ORD439956,2025-10-18 09:32:32,Dal Baati Churma,weekend_special,2,180,360
ORD649335,2025-10-18 05:54:53,Masala Buttermilk,hot_and_cold,1,30,30
ORD473598,2025-10-17 17:48:41,Cheese Paneer Mix,premium_paratha,2,150,300
ORD455081,2025-10-17 23:24:14,Veg Singapore Noodles,chinese_noodles,2,130,260
ORD271205,2025-10-17 21:55:29,Aloo Methi Garlic Mix,premium_paratha,2,120,240
ORD448066,2025-10-18 02:30:56,Paneer Schezwan Noodles,chinese_noodles,2,150,300
ORD412833,2025-10-17 17:56:34,Mix Veg Paratha,stuff_paratha,2,110,220
ORD825799,2025-10-18 06:38:44,Dal Baati Churma,weekend_special,1,180,180
ORD482601,2025-10-17 18:07:25,Paneer Chilly Noodles,chinese_noodles,1,160,160
ORD402474,2025-10-18 06:33:48,Veg Chopper Noodles,chinese_noodles,2,170,340
ORD973481,2025-10-18 04:18:42,Onion Paratha,stuff_paratha,2,100,200
ORD157943,2025-10-17 22:24:40,Veg Triple Rice,chinese_rice,3,170,510
ORD627017,2025-10-18 01:45:18,Veg Thali,today_thali,1,140,140
ORD601767,2025-10-18 09:22:14,Veg Paneer Noodles,chinese_noodles,2,150,300
ORD422936,2025-10-18 06:15:29,Paneer Fried Rice,chinese_rice,3,160,480
ORD509913,2025-10-18 08:31:44,Roti Thali,today_thali,2,120,240
ORD324781,2025-10-18 06:33:45,Bati,extra,3,20,60
ORD198760,2025-10-18 05:03:19,Veg Fried Rice,chinese_rice,1,110,110
ORD937675,2025-10-18 04:35:46,Baby Corn Chilly Dry,chinese_starters,2,150,300
ORD814684,2025-10-17 22:21:04,Manchurian Rice with Gravy,chinese_rice,3,160,480
ORD608344,2025-10-18 06:12:11,Methi Paratha,stuff_paratha,1,100,100
ORD702220,2025-10-18 07:02:34,Veg Manchurian Noodles,chinese_noodles,2,160,320
ORD166887,2025-10-17 22:28:33,Masala Tea,hot_and_cold,1,20,20
ORD230495,2025-10-18 06:29:13,Paneer Schezwan Noodles,chinese_noodles,1,150,150
ORD156046,2025-10-17 21:03:11,Extra Dal,extra,1,20,20
ORD806952,2025-10-17 22:08:04,Schezwan Fried Rice,chinese_rice,3,120,360
ORD409858,2025-10-17 23:31:08,Paneer Combo,chinese_combo,2,280,560
ORD950471,2025-10-18 06:08:36,Paneer Combo,chinese_combo,2,280,560
ORD473288,2025-10-17 16:37:32,Mushroom 65,chinese_starters,2,160,320
ORD260546,2025-10-17 17:34:39,Veg Thali,today_thali,2,140,280
ORD848259,2025-10-18 05:44:54,Dal Baati Churma,weekend_special,3,180,540
ORD958774,2025-10-17 17:30:28,Rajma Thali,today_thali,2,150,300
ORD471686,2025-10-18 06:09:18,Chole Masala Thali,today_thali,3,150,450
ORD659897,2025-10-18 05:00:22,Palak Paneer,special_sabji,2,180,360
ORD929884,2025-10-18 05:31:12,Dal Baati Churma,weekend_special,1,180,180
ORD566225,2025-10-17 16:20:51,Masala Buttermilk,hot_and_cold,1,30,30
ORD775342,2025-10-17 16:32:53,Masala Tea,hot_and_cold,3,20,60
ORD554881,2025-10-17 22:39:26,Aloo Matar,special_sabji,1,160,160
ORD681649,2025-10-18 06:13:17,Veg Paneer Noodles,chinese_noodles,1,150,150
ORD454324,2025-10-17 17:38:04,Sattu Paratha,stuff_paratha,1,120,120
ORD906405,2025-10-18 01:56:53,Veg Schezwan Noodles,chinese_noodles,2,120,240
ORD485666,2025-10-18 06:51:58,Veg Triple Noodles,chinese_noodles,1,170,170
ORD377195,2025-10-17 16:08:33,Paneer Chilly,chinese_starters,3,150,450
ORD211624,2025-10-18 06:41:19,Dal Baati Churma,weekend_special,3,180,540
ORD464081,2025-10-17 21:11:48,Veg Manchurian Noodles,chinese_noodles,1,160,160
ORD725686,2025-10-18 05:27:35,Dal Baati Churma,weekend_special,1,180,180
ORD781342,2025-10-18 05:52:58,Aloo Methi Garlic Mix,premium_paratha,2,120,240
ORD382693,2025-10-17 21:08:25,Methi Paratha,stuff_paratha,1,100,100
ORD348251,2025-10-17 23:18:15,Cocaine Paratha,premium_paratha,2,150,300
ORD360570,2025-10-17 23:32:03,Baby Corn Manchurian,chinese_starters,3,150,450
ORD731653,2025-10-18 01:17:22,Mushroom Manchurian,chinese_starters,1,160,160
ORD500491,2025-10-18 07:09:15,Baby Corn Chilly Dry,chinese_starters,1,150,150
ORD858874,2025-10-17 22:16:01,Mushroom Kolhapur,special_sabji,3,170,510
ORD122237,2025-10-17 21:14:10,Bati,extra,3,20,60
ORD696977,2025-10-18 07:13:31,Dal Baati Churma,weekend_special,3,180,540
ORD765282,2025-10-17 17:57:51,Gobi Manchurian (Dry/Gravy),chinese_starters,2,120,240
ORD695913,2025-10-17 21:52:30,Dal Tarda,special_sabji,2,160,320
ORD876067,2025-10-18 08:44:28,Chole Masala Thali,today_thali,1,150,150
ORD537523,2025-10-17 16:36:39,Veg Combo,chinese_combo,2,250,500
ORD907618,2025-10-18 06:19:57,Veg Triple Rice,chinese_rice,2,170,340
ORD692122,2025-10-18 05:09:13,Methi Paratha,stuff_paratha,3,100,300
ORD850214,2025-10-17 17:56:25,Paneer Bhurji,special_sabji,2,200,400
ORD871225,2025-10-18 05:03:26,Paneer Combo,chinese_combo,1,280,280
ORD344378,2025-10-17 21:19:47,Paneer Pyaza,special_sabji,1,200,200
ORD412013,2025-10-17 17:33:14,Mushroom Kolhapur,special_sabji,1,170,170
ORD535199,2025-10-18 03:51:36,Veg Fried Rice,chinese_rice,1,110,110
ORD578097,2025-10-17 22:07:46,Gobi Manchurian (Dry/Gravy),chinese_starters,3,120,360
ORD573393,2025-10-18 01:05:36,Dal Baati Churma,weekend_special,2,180,360
ORD909836,2025-10-17 17:57:17,Cheese Paratha,stuff_paratha,3,150,450
ORD860845,2025-10-17 18:21:21,Moong Dal Paratha,stuff_paratha,1,110,110
ORD610253,2025-10-18 05:08:16,Dal Baati Churma,weekend_special,2,180,360
ORD668367,2025-10-17 20:54:36,Sweet Paratha,stuff_paratha,2,50,100
ORD943598,2025-10-17 21:02:19,Paneer Chilly Noodles,chinese_noodles,1,160,160
ORD584781,2025-10-18 07:46:41,Methi Paratha,stuff_paratha,1,100,100
ORD180653,2025-10-17 23:26:58,Veg Fried Rice,chinese_rice,2,110,220
ORD485350,2025-10-17 22:11:03,Schezwan Fried Rice,chinese_rice,3,120,360
ORD709825,2025-10-18 02:38:20,Churma,extra,1,30,30
ORD550566,2025-10-18 09:13:23,Besan Gatta,special_sabji,3,160,480
ORD244371,2025-10-18 06:57:50,Paneer Thali,today_thali,1,160,160
ORD502556,2025-10-18 06:59:33,Manchurian Rice with Gravy,chinese_rice,1,160,160
ORD773885,2025-10-17 22:43:04,Butter,extra,3,10,30
ORD388551,2025-10-18 04:58:39,Dal Baati Churma,weekend_special,1,180,180
ORD599903,2025-10-17 16:38:34,Masala Tea,hot_and_cold,3,20,60
ORD873116,2025-10-18 01:08:32,Chole Masala Thali,today_thali,3,150,450
ORD923893,2025-10-18 03:37:14,Paneer Combo,chinese_combo,3,280,840
ORD728763,2025-10-17 17:36:15,Manchurian Rice with Gravy,chinese_rice,3,160,480
ORD391040,2025-10-18 01:22:52,Dal Baati Churma,weekend_special,2,180,360
ORD363990,2025-10-18 07:13:00,Veg Noodles,chinese_noodles,3,110,330
ORD583379,2025-10-17 18:21:48,Aloo Paneer Mix,premium_paratha,1,120,120
ORD970296,2025-10-18 05:39:12,Butter,extra,3,10,30
ORD833575,2025-10-18 06:28:58,Mushroom Masala,special_sabji,3,160,480
ORD343890,2025-10-17 20:53:06,Veg Thali,today_thali,3,140,420
ORD314035,2025-10-17 18:38:20,Roti Thali,today_thali,3,120,360
ORD701767,2025-10-18 06:15:39,Veg Chopper Noodles,chinese_noodles,2,170,340
ORD286835,2025-10-18 05:37:18,Green Peas Paratha,stuff_paratha,3,120,360
ORD402015,2025-10-18 04:32:01,Rajma Thali,today_thali,3,150,450
ORD159831,2025-10-17 17:22:06,Veg Hong Kong Noodles,chinese_noodles,1,150,150
ORD947641,2025-10-17 17:49:15,Bati,extra,1,20,20
ORD652986,2025-10-18 01:26:43,Roti Thali,today_thali,3,120,360
ORD905078,2025-10-18 07:52:00,Dal Baati Churma,weekend_special,2,180,360
ORD461969,2025-10-18 04:45:35,Dal Baati Churma,weekend_special,3,180,540
ORD660999,2025-10-17 15:56:22,Matter Paneer,special_sabji,2,170,340
ORD233701,2025-10-17 20:57:26,Hong Kong Rice,chinese_rice,1,130,130
ORD445962,2025-10-17 21:21:14,Paneer Chilli Rice,chinese_rice,2,160,320
ORD889950,2025-10-18 06:17:33,Masala Tea,hot_and_cold,2,20,40
ORD671371,2025-10-17 23:22:22,Veg Thali,today_thali,3,140,420
ORD164351,2025-10-18 06:59:42,Veg Chopper Noodles,chinese_noodles,1,170,170
ORD990442,2025-10-18 06:18:44,Dal Baati Churma,weekend_special,2,180,360
ORD187594,2025-10-18 01:29:40,Paneer Chilly,chinese_starters,3,150,450
ORD309648,2025-10-18 05:46:13,Rajma Thali,today_thali,1,150,150
ORD749286,2025-10-17 15:50:01,Gobi Manchurian (Dry/Gravy),chinese_starters,2,120,240
ORD868369,2025-10-18 01:01:23,Veg Fried Rice,chinese_rice,3,110,330
ORD444316,2025-10-18 04:12:19,Dal Baati Churma,weekend_special,3,180,540
ORD841555,2025-10-17 23:36:04,Aloo Paratha,stuff_paratha,1,100,100
ORD371543,2025-10-18 09:01:21,Dal Baati Churma,weekend_special,3,180,540
ORD788463,2025-10-18 08:39:28,Roti Thali,today_thali,1,120,120
